lee-lay	L IY0 L EY0
sho-shah	SH OW0 SH AA0
sho-sho	SH OW0 SH OW0
sho-bee	SH OW0 B IY0
sho-bay	SH OW0 B EY0
sho-bah	SH OW0 B AA0
sho-bo	SH OW0 B OW0
sho-dee	SH OW0 D IY0
sho-day	SH OW0 D EY0
sho-dah	SH OW0 D AA0
sho-doe	SH OW0 D OW0
sho-ghee	SH OW0 G IY0
sho-gay	SH OW0 G EY0
sho-gah	SH OW0 G AA0
sho-go	SH OW0 G OW0
sho-pee	SH OW0 P IY0
sho-pay	SH OW0 P EY0
sho-pah	SH OW0 P AA0
sho-po	SH OW0 P OW0
sho-tee	SH OW0 T IY0
sho-tay	SH OW0 T EY0
sho-tah	SH OW0 T AA0
sho-toe	SH OW0 T OW0
sho-kee	SH OW0 K IY0
sho-kay	SH OW0 K EY0
sho-kah	SH OW0 K AA0
bee-lay	B IY0 L EY0
bee-lah	B IY0 L AA0
bee-may	B IY0 M EY0
bee-mah	B IY0 M AA0
bee-mo	B IY0 M OW0
bee-nay	B IY0 N EY0
bee-nah	B IY0 N AA0
bee-no	B IY0 N OW0
bee-vee	B IY0 V IY0
bee-vay	B IY0 V EY0
bee-vah	B IY0 V AA0
bee-vo	B IY0 V OW0
beethey	B IY0 DH IY0
bee-they	B IY0 DH EY0
bee-though	B IY0 DH OW0
bee-zee	B IY0 Z IY0
bee-zay	B IY0 Z EY0
bee-zah	B IY0 Z AA0
bee-zo	B IY0 Z OW0
bee-fay	B IY0 F EY0
bee-fah	B IY0 F AA0
bee-fo	B IY0 F OW0
bee-see	B IY0 S IY0
bee-say	B IY0 S EY0
bee-sah	B IY0 S AA0
bee-shee	B IY0 SH IY0
bee-shay	B IY0 SH EY0
bee-shah	B IY0 SH AA0
bee-sho	B IY0 SH OW0
bee-bay	B IY0 B EY0
bee-bah	B IY0 B AA0
bee-dah	B IY0 D AA0
bee-doe	B IY0 D OW0
bee-gay	B IY0 G EY0
bee-gah	B IY0 G AA0
bee-go	B IY0 G OW0
bee-pee	B IY0 P IY0
bee-pay	B IY0 P EY0
bee-pah	B IY0 P AA0
bee-po	B IY0 P OW0
bee-tay	B IY0 T EY0
bee-tah	B IY0 T AA0
bee-toe	B IY0 T OW0
bee-kay	B IY0 K EY0
bee-kah	B IY0 K AA0
bay-lay	B EY0 L EY0
bay-lah	B EY0 L AA0
bay-lo	B EY0 L OW0
bay-mee	B EY0 M IY0
bay-may	B EY0 M EY0
bay-mah	B EY0 M AA0
bay-mo	B EY0 M OW0
bay-nay	B EY0 N EY0
bay-nah	B EY0 N AA0
bay-vee	B EY0 V IY0
bay-vay	B EY0 V EY0
bay-vah	B EY0 V AA0
bay-vo	B EY0 V OW0
baythey	B EY0 DH IY0
bay-they	B EY0 DH EY0
bay-though	B EY0 DH OW0
bay-zay	B EY0 Z EY0
bay-zah	B EY0 Z AA0
bay-zo	B EY0 Z OW0
bay-fee	B EY0 F IY0
bay-fay	B EY0 F EY0
bay-fah	B EY0 F AA0
bay-fo	B EY0 F OW0
bay-say	B EY0 S EY0
bay-sah	B EY0 S AA0
bay-so	B EY0 S OW0
bay-shee	B EY0 SH IY0
bay-shay	B EY0 SH EY0
bay-shah	B EY0 SH AA0
bay-sho	B EY0 SH OW0
bay-bay	B EY0 B EY0
bay-bah	B EY0 B AA0
bay-bo	B EY0 B OW0
bay-day	B EY0 D EY0
bay-dah	B EY0 D AA0
bay-doe	B EY0 D OW0
bay-ghee	B EY0 G IY0
bay-gay	B EY0 G EY0
bay-gah	B EY0 G AA0
bay-go	B EY0 G OW0
bay-pee	B EY0 P IY0
bay-pay	B EY0 P EY0
bay-pah	B EY0 P AA0
bay-po	B EY0 P OW0
bay-tay	B EY0 T EY0
bay-tah	B EY0 T AA0
bay-toe	B EY0 T OW0
bay-kay	B EY0 K EY0
bay-kah	B EY0 K AA0
bay-ko	B EY0 K OW0
bah-lay	B AA0 L EY0
bah-lah	B AA0 L AA0
bah-lo	B AA0 L OW0
bah-may	B AA0 M EY0
bah-mah	B AA0 M AA0
bah-mo	B AA0 M OW0
bah-nay	B AA0 N EY0
bah-nah	B AA0 N AA0
bah-no	B AA0 N OW0
bah-vee	B AA0 V IY0
bah-vay	B AA0 V EY0
bah-vah	B AA0 V AA0
bah-vo	B AA0 V OW0
bahthey	B AA0 DH IY0
bah-they	B AA0 DH EY0
bah-though	B AA0 DH OW0
bah-zay	B AA0 Z EY0
bah-zah	B AA0 Z AA0
bah-fee	B AA0 F IY0
bah-fay	B AA0 F EY0
bah-fah	B AA0 F AA0
bah-fo	B AA0 F OW0
bah-say	B AA0 S EY0
bah-sah	B AA0 S AA0
bah-so	B AA0 S OW0
bah-shee	B AA0 SH IY0
bah-shay	B AA0 SH EY0
bah-shah	B AA0 SH AA0
bah-sho	B AA0 SH OW0
bah-bay	B AA0 B EY0
bah-bah	B AA0 B AA0
bah-day	B AA0 D EY0
bah-dah	B AA0 D AA0
bah-doe	B AA0 D OW0
bah-ghee	B AA0 G IY0
bah-gay	B AA0 G EY0
bah-gah	B AA0 G AA0
bah-go	B AA0 G OW0
bah-pee	B AA0 P IY0
bah-pay	B AA0 P EY0
bah-pah	B AA0 P AA0
bah-po	B AA0 P OW0
bah-tee	B AA0 T IY0
bah-tay	B AA0 T EY0
bah-tah	B AA0 T AA0
bah-toe	B AA0 T OW0
bah-kee	B AA0 K IY0
bah-kay	B AA0 K EY0
bah-kah	B AA0 K AA0
bah-ko	B AA0 K OW0
bo-lay	B OW0 L EY0
bo-lah	B OW0 L AA0
bo-lo	B OW0 L OW0
bo-mee	B OW0 M IY0
bo-may	B OW0 M EY0
bo-mah	B OW0 M AA0
bo-mo	B OW0 M OW0
bo-nay	B OW0 N EY0
bo-nah	B OW0 N AA0
bo-vah	B OW0 V AA0
bo-vo	B OW0 V OW0
bothey	B OW0 DH IY0
bo-they	B OW0 DH EY0
bo-though	B OW0 DH OW0
bo-zee	B OW0 Z IY0
bo-zay	B OW0 Z EY0
bo-zah	B OW0 Z AA0
bo-zo	B OW0 Z OW0
bo-fee	B OW0 F IY0
bo-fay	B OW0 F EY0
bo-fah	B OW0 F AA0
bo-fo	B OW0 F OW0
bo-say	B OW0 S EY0
bo-sah	B OW0 S AA0
bo-shee	B OW0 SH IY0
bo-shay	B OW0 SH EY0
bo-shah	B OW0 SH AA0
bo-sho	B OW0 SH OW0
bo-bee	B OW0 B IY0
bo-bay	B OW0 B EY0
bo-bah	B OW0 B AA0
bo-day	B OW0 D EY0
bo-dah	B OW0 D AA0
bo-gay	B OW0 G EY0
bo-gah	B OW0 G AA0
bo-go	B OW0 G OW0
bo-pee	B OW0 P IY0
bo-pay	B OW0 P EY0
bo-pah	B OW0 P AA0
bo-po	B OW0 P OW0
bo-tee	B OW0 T IY0
bo-tay	B OW0 T EY0
bo-tah	B OW0 T AA0
bo-toe	B OW0 T OW0
bo-kee	B OW0 K IY0
bo-kay	B OW0 K EY0
bo-kah	B OW0 K AA0
bo-ko	B OW0 K OW0
dee-lay	D IY0 L EY0
dee-lah	D IY0 L AA0
dee-lo	D IY0 L OW0
dee-mee	D IY0 M IY0
dee-may	D IY0 M EY0
dee-mah	D IY0 M AA0
dee-mo	D IY0 M OW0
dee-nay	D IY0 N EY0
dee-nah	D IY0 N AA0
dee-vay	D IY0 V EY0
dee-vah	D IY0 V AA0
dee-vo	D IY0 V OW0
deethey	D IY0 DH IY0
dee-they	D IY0 DH EY0
dee-though	D IY0 DH OW0
dee-zee	D IY0 Z IY0
dee-zay	D IY0 Z EY0
dee-zah	D IY0 Z AA0
dee-zo	D IY0 Z OW0
dee-fee	D IY0 F IY0
dee-fay	D IY0 F EY0
dee-fah	D IY0 F AA0
dee-fo	D IY0 F OW0
dee-say	D IY0 S EY0
dee-sah	D IY0 S AA0
dee-so	D IY0 S OW0
dee-shee	D IY0 SH IY0
dee-shay	D IY0 SH EY0
dee-shah	D IY0 SH AA0
dee-sho	D IY0 SH OW0
dee-bee	D IY0 B IY0
dee-bay	D IY0 B EY0
dee-bah	D IY0 B AA0
dee-day	D IY0 D EY0
dee-dah	D IY0 D AA0
dee-doe	D IY0 D OW0
dee-ghee	D IY0 G IY0
dee-gay	D IY0 G EY0
dee-gah	D IY0 G AA0
dee-go	D IY0 G OW0
dee-pee	D IY0 P IY0
dee-pay	D IY0 P EY0
dee-pah	D IY0 P AA0
dee-tee	D IY0 T IY0
dee-tay	D IY0 T EY0
dee-tah	D IY0 T AA0
dee-toe	D IY0 T OW0
dee-kee	D IY0 K IY0
dee-kah	D IY0 K AA0
dee-ko	D IY0 K OW0
day-lay	D EY0 L EY0
day-lah	D EY0 L AA0
day-lo	D EY0 L OW0
day-mee	D EY0 M IY0
day-may	D EY0 M EY0
day-mah	D EY0 M AA0
day-mo	D EY0 M OW0
day-nay	D EY0 N EY0
day-nah	D EY0 N AA0
day-no	D EY0 N OW0
day-vay	D EY0 V EY0
day-vah	D EY0 V AA0
daythey	D EY0 DH IY0
day-they	D EY0 DH EY0
day-though	D EY0 DH OW0
day-zay	D EY0 Z EY0
day-zah	D EY0 Z AA0
day-zo	D EY0 Z OW0
day-fee	D EY0 F IY0
day-fay	D EY0 F EY0
day-fah	D EY0 F AA0
day-fo	D EY0 F OW0
day-say	D EY0 S EY0
day-sah	D EY0 S AA0
day-so	D EY0 S OW0
day-shee	D EY0 SH IY0
day-shay	D EY0 SH EY0
day-shah	D EY0 SH AA0
day-sho	D EY0 SH OW0
day-bee	D EY0 B IY0
day-bay	D EY0 B EY0
day-bah	D EY0 B AA0
day-bo	D EY0 B OW0
day-day	D EY0 D EY0
day-dah	D EY0 D AA0
day-ghee	D EY0 G IY0
day-gay	D EY0 G EY0
day-gah	D EY0 G AA0
day-go	D EY0 G OW0
day-pee	D EY0 P IY0
day-pay	D EY0 P EY0
day-pah	D EY0 P AA0
day-po	D EY0 P OW0
day-tee	D EY0 T IY0
day-tay	D EY0 T EY0
day-tah	D EY0 T AA0
day-toe	D EY0 T OW0
day-kee	D EY0 K IY0
day-kay	D EY0 K EY0
day-kah	D EY0 K AA0
dah-lay	D AA0 L EY0
dah-lah	D AA0 L AA0
dah-may	D AA0 M EY0
dah-mah	D AA0 M AA0
dah-mo	D AA0 M OW0
dah-nah	D AA0 N AA0
dah-vay	D AA0 V EY0
dah-vah	D AA0 V AA0
dah-vo	D AA0 V OW0
dahthey	D AA0 DH IY0
dah-they	D AA0 DH EY0
dah-though	D AA0 DH OW0
dah-zee	D AA0 Z IY0
dah-zay	D AA0 Z EY0
dah-zah	D AA0 Z AA0
dah-zo	D AA0 Z OW0
dah-fee	D AA0 F IY0
dah-fay	D AA0 F EY0
dah-fah	D AA0 F AA0
dah-fo	D AA0 F OW0
dah-say	D AA0 S EY0
dah-sah	D AA0 S AA0
dah-so	D AA0 S OW0
dah-shee	D AA0 SH IY0
dah-shay	D AA0 SH EY0
dah-shah	D AA0 SH AA0
dah-sho	D AA0 SH OW0
dah-bay	D AA0 B EY0
dah-bah	D AA0 B AA0
dah-bo	D AA0 B OW0
dah-dee	D AA0 D IY0
dah-day	D AA0 D EY0
dah-dah	D AA0 D AA0
dah-doe	D AA0 D OW0
dah-ghee	D AA0 G IY0
dah-gay	D AA0 G EY0
dah-gah	D AA0 G AA0
dah-go	D AA0 G OW0
dah-pee	D AA0 P IY0
dah-pay	D AA0 P EY0
dah-pah	D AA0 P AA0
dah-po	D AA0 P OW0
dah-tay	D AA0 T EY0
dah-tah	D AA0 T AA0
dah-kay	D AA0 K EY0
dah-kah	D AA0 K AA0
dah-ko	D AA0 K OW0
doe-lay	D OW0 L EY0
doe-lah	D OW0 L AA0
doe-lo	D OW0 L OW0
doe-mee	D OW0 M IY0
doe-may	D OW0 M EY0
doe-mah	D OW0 M AA0
doe-mo	D OW0 M OW0
doe-nee	D OW0 N IY0
doe-nay	D OW0 N EY0
doe-nah	D OW0 N AA0
doe-no	D OW0 N OW0
doe-vee	D OW0 V IY0
doe-vay	D OW0 V EY0
doe-vah	D OW0 V AA0
doe-vo	D OW0 V OW0
doethey	D OW0 DH IY0
doe-they	D OW0 DH EY0
doe-though	D OW0 DH OW0
doe-zee	D OW0 Z IY0
doe-zay	D OW0 Z EY0
doe-zah	D OW0 Z AA0
doe-zo	D OW0 Z OW0
doe-fee	D OW0 F IY0
doe-fay	D OW0 F EY0
doe-fah	D OW0 F AA0
doe-fo	D OW0 F OW0
doe-see	D OW0 S IY0
doe-say	D OW0 S EY0
doe-sah	D OW0 S AA0
doe-so	D OW0 S OW0
doe-shay	D OW0 SH EY0
doe-shah	D OW0 SH AA0
doe-sho	D OW0 SH OW0
doe-bay	D OW0 B EY0
doe-bah	D OW0 B AA0
doe-bo	D OW0 B OW0
doe-day	D OW0 D EY0
doe-dah	D OW0 D AA0
doe-ghee	D OW0 G IY0
doe-gay	D OW0 G EY0
doe-gah	D OW0 G AA0
doe-go	D OW0 G OW0
doe-pay	D OW0 P EY0
doe-pah	D OW0 P AA0
doe-po	D OW0 P OW0
doe-tay	D OW0 T EY0
doe-tah	D OW0 T AA0
doe-kay	D OW0 K EY0
doe-kah	D OW0 K AA0
doe-ko	D OW0 K OW0
ghee-lay	G IY0 L EY0
ghee-lah	G IY0 L AA0
ghee-lo	G IY0 L OW0
ghee-mee	G IY0 M IY0
ghee-may	G IY0 M EY0
ghee-mah	G IY0 M AA0
ghee-mo	G IY0 M OW0
ghee-nay	G IY0 N EY0
ghee-nah	G IY0 N AA0
ghee-no	G IY0 N OW0
ghee-vee	G IY0 V IY0
ghee-vay	G IY0 V EY0
ghee-vah	G IY0 V AA0
ghee-vo	G IY0 V OW0
gheethey	G IY0 DH IY0
ghee-they	G IY0 DH EY0
ghee-though	G IY0 DH OW0
ghee-zee	G IY0 Z IY0
ghee-zay	G IY0 Z EY0
ghee-zah	G IY0 Z AA0
ghee-zo	G IY0 Z OW0
ghee-fee	G IY0 F IY0
ghee-fay	G IY0 F EY0
ghee-fah	G IY0 F AA0
ghee-fo	G IY0 F OW0
ghee-say	G IY0 S EY0
ghee-sah	G IY0 S AA0
ghee-so	G IY0 S OW0
ghee-shee	G IY0 SH IY0
ghee-shay	G IY0 SH EY0
ghee-shah	G IY0 SH AA0
ghee-sho	G IY0 SH OW0
ghee-bee	G IY0 B IY0
ghee-bay	G IY0 B EY0
ghee-bah	G IY0 B AA0
ghee-bo	G IY0 B OW0
ghee-day	G IY0 D EY0
ghee-dah	G IY0 D AA0
ghee-doe	G IY0 D OW0
ghee-gay	G IY0 G EY0
ghee-gah	G IY0 G AA0
ghee-go	G IY0 G OW0
ghee-pee	G IY0 P IY0
ghee-pay	G IY0 P EY0
ghee-pah	G IY0 P AA0
ghee-po	G IY0 P OW0
ghee-tee	G IY0 T IY0
ghee-tay	G IY0 T EY0
ghee-tah	G IY0 T AA0
ghee-toe	G IY0 T OW0
ghee-kay	G IY0 K EY0
ghee-kah	G IY0 K AA0
ghee-ko	G IY0 K OW0
gay-lay	G EY0 L EY0
gay-lah	G EY0 L AA0
gay-lo	G EY0 L OW0
gay-may	G EY0 M EY0
gay-mah	G EY0 M AA0
gay-mo	G EY0 M OW0
gay-nay	G EY0 N EY0
gay-nah	G EY0 N AA0
gay-no	G EY0 N OW0
gay-vee	G EY0 V IY0
gay-vay	G EY0 V EY0
gay-vah	G EY0 V AA0
gay-vo	G EY0 V OW0
gaythey	G EY0 DH IY0
gay-they	G EY0 DH EY0
gay-though	G EY0 DH OW0
gay-zay	G EY0 Z EY0
gay-zah	G EY0 Z AA0
gay-zo	G EY0 Z OW0
gay-fee	G EY0 F IY0
gay-fay	G EY0 F EY0
gay-fah	G EY0 F AA0
gay-fo	G EY0 F OW0
gay-see	G EY0 S IY0
gay-say	G EY0 S EY0
gay-sah	G EY0 S AA0
gay-so	G EY0 S OW0
gay-shee	G EY0 SH IY0
gay-shay	G EY0 SH EY0
gay-shah	G EY0 SH AA0
gay-sho	G EY0 SH OW0
gay-bay	G EY0 B EY0
gay-bah	G EY0 B AA0
gay-bo	G EY0 B OW0
gay-dee	G EY0 D IY0
gay-day	G EY0 D EY0
gay-dah	G EY0 D AA0
gay-doe	G EY0 D OW0
gay-ghee	G EY0 G IY0
gay-gay	G EY0 G EY0
gay-gah	G EY0 G AA0
gay-go	G EY0 G OW0
gay-pee	G EY0 P IY0
gay-pay	G EY0 P EY0
gay-pah	G EY0 P AA0
gay-po	G EY0 P OW0
gay-tee	G EY0 T IY0
gay-tay	G EY0 T EY0
gay-tah	G EY0 T AA0
gay-toe	G EY0 T OW0
gay-kee	G EY0 K IY0
gay-kay	G EY0 K EY0
gay-kah	G EY0 K AA0
gay-ko	G EY0 K OW0
gah-lah	G AA0 L AA0
gah-lo	G AA0 L OW0
gah-mee	G AA0 M IY0
gah-may	G AA0 M EY0
gah-mah	G AA0 M AA0
gah-mo	G AA0 M OW0
gah-nee	G AA0 N IY0
gah-nay	G AA0 N EY0
gah-nah	G AA0 N AA0
gah-vee	G AA0 V IY0
gah-vah	G AA0 V AA0
gah-vo	G AA0 V OW0
gahthey	G AA0 DH IY0
gah-they	G AA0 DH EY0
gah-though	G AA0 DH OW0
gah-zee	G AA0 Z IY0
gah-zay	G AA0 Z EY0
gah-zah	G AA0 Z AA0
gah-zo	G AA0 Z OW0
gah-fee	G AA0 F IY0
gah-fay	G AA0 F EY0
gah-fah	G AA0 F AA0
gah-fo	G AA0 F OW0
gah-see	G AA0 S IY0
gah-say	G AA0 S EY0
gah-sah	G AA0 S AA0
gah-so	G AA0 S OW0
gah-shee	G AA0 SH IY0
gah-shay	G AA0 SH EY0
gah-shah	G AA0 SH AA0
gah-sho	G AA0 SH OW0
gah-bee	G AA0 B IY0
gah-bay	G AA0 B EY0
gah-bah	G AA0 B AA0
gah-bo	G AA0 B OW0
gah-dee	G AA0 D IY0
gah-day	G AA0 D EY0
gah-dah	G AA0 D AA0
gah-doe	G AA0 D OW0
gah-ghee	G AA0 G IY0
gah-gay	G AA0 G EY0
gah-gah	G AA0 G AA0
gah-go	G AA0 G OW0
gah-pee	G AA0 P IY0
gah-pay	G AA0 P EY0
gah-pah	G AA0 P AA0
gah-po	G AA0 P OW0
gah-tay	G AA0 T EY0
gah-tah	G AA0 T AA0
gah-kee	G AA0 K IY0
gah-kay	G AA0 K EY0
gah-kah	G AA0 K AA0
gah-ko	G AA0 K OW0
go-lay	G OW0 L EY0
go-lah	G OW0 L AA0
go-lo	G OW0 L OW0
go-mee	G OW0 M IY0
go-may	G OW0 M EY0
go-mah	G OW0 M AA0
go-mo	G OW0 M OW0
go-nee	G OW0 N IY0
go-nay	G OW0 N EY0
go-nah	G OW0 N AA0
go-no	G OW0 N OW0
go-vee	G OW0 V IY0
go-vay	G OW0 V EY0
go-vah	G OW0 V AA0
go-vo	G OW0 V OW0
gothey	G OW0 DH IY0
go-they	G OW0 DH EY0
go-though	G OW0 DH OW0
go-zee	G OW0 Z IY0
go-zay	G OW0 Z EY0
go-zah	G OW0 Z AA0
go-fee	G OW0 F IY0
go-fay	G OW0 F EY0
go-fah	G OW0 F AA0
go-fo	G OW0 F OW0
go-see	G OW0 S IY0
go-say	G OW0 S EY0
go-sah	G OW0 S AA0
go-so	G OW0 S OW0
go-shee	G OW0 SH IY0
go-shay	G OW0 SH EY0
go-shah	G OW0 SH AA0
go-sho	G OW0 SH OW0
go-bay	G OW0 B EY0
go-bah	G OW0 B AA0
go-bo	G OW0 B OW0
go-dee	G OW0 D IY0
go-day	G OW0 D EY0
go-dah	G OW0 D AA0
go-doe	G OW0 D OW0
go-ghee	G OW0 G IY0
go-gay	G OW0 G EY0
go-gah	G OW0 G AA0
go-go	G OW0 G OW0
go-pay	G OW0 P EY0
go-pah	G OW0 P AA0
go-po	G OW0 P OW0
go-tay	G OW0 T EY0
go-tah	G OW0 T AA0
go-toe	G OW0 T OW0
go-kee	G OW0 K IY0
go-kay	G OW0 K EY0
go-kah	G OW0 K AA0
go-ko	G OW0 K OW0
pee-lay	P IY0 L EY0
pee-lah	P IY0 L AA0
pee-lo	P IY0 L OW0
pee-mee	P IY0 M IY0
pee-may	P IY0 M EY0
pee-mah	P IY0 M AA0
pee-mo	P IY0 M OW0
pee-nay	P IY0 N EY0
pee-nah	P IY0 N AA0
pee-vay	P IY0 V EY0
pee-vah	P IY0 V AA0
pee-vo	P IY0 V OW0
peethey	P IY0 DH IY0
pee-they	P IY0 DH EY0
pee-though	P IY0 DH OW0
pee-zay	P IY0 Z EY0
pee-zah	P IY0 Z AA0
pee-zo	P IY0 Z OW0
pee-fee	P IY0 F IY0
pee-fay	P IY0 F EY0
pee-fah	P IY0 F AA0
pee-say	P IY0 S EY0
pee-sah	P IY0 S AA0
pee-so	P IY0 S OW0
pee-shee	P IY0 SH IY0
pee-shay	P IY0 SH EY0
pee-shah	P IY0 SH AA0
pee-sho	P IY0 SH OW0
pee-bee	P IY0 B IY0
pee-bay	P IY0 B EY0
pee-bah	P IY0 B AA0
pee-bo	P IY0 B OW0
pee-dee	P IY0 D IY0
pee-day	P IY0 D EY0
pee-dah	P IY0 D AA0
pee-doe	P IY0 D OW0
pee-ghee	P IY0 G IY0
pee-gay	P IY0 G EY0
pee-gah	P IY0 G AA0
pee-go	P IY0 G OW0
pee-pay	P IY0 P EY0
pee-pah	P IY0 P AA0
pee-po	P IY0 P OW0
pee-tay	P IY0 T EY0
pee-tah	P IY0 T AA0
pee-kay	P IY0 K EY0
pee-kah	P IY0 K AA0
pay-lay	P EY0 L EY0
pay-lah	P EY0 L AA0
pay-lo	P EY0 L OW0
pay-mee	P EY0 M IY0
pay-may	P EY0 M EY0
pay-mah	P EY0 M AA0
pay-mo	P EY0 M OW0
pay-nee	P EY0 N IY0
pay-nay	P EY0 N EY0
pay-nah	P EY0 N AA0
pay-vay	P EY0 V EY0
pay-vah	P EY0 V AA0
pay-vo	P EY0 V OW0
paythey	P EY0 DH IY0
pay-they	P EY0 DH EY0
pay-though	P EY0 DH OW0
pay-zee	P EY0 Z IY0
pay-zay	P EY0 Z EY0
pay-zah	P EY0 Z AA0
pay-zo	P EY0 Z OW0
pay-fee	P EY0 F IY0
pay-fay	P EY0 F EY0
pay-fah	P EY0 F AA0
pay-fo	P EY0 F OW0
pay-say	P EY0 S EY0
pay-sah	P EY0 S AA0
pay-shee	P EY0 SH IY0
pay-shay	P EY0 SH EY0
pay-shah	P EY0 SH AA0
pay-sho	P EY0 SH OW0
pay-bee	P EY0 B IY0
pay-bay	P EY0 B EY0
pay-bah	P EY0 B AA0
pay-bo	P EY0 B OW0
pay-dee	P EY0 D IY0
pay-dah	P EY0 D AA0
pay-doe	P EY0 D OW0
pay-ghee	P EY0 G IY0
pay-gay	P EY0 G EY0
pay-gah	P EY0 G AA0
pay-go	P EY0 G OW0
pay-pee	P EY0 P IY0
pay-pay	P EY0 P EY0
pay-pah	P EY0 P AA0
pay-po	P EY0 P OW0
pay-tay	P EY0 T EY0
pay-tah	P EY0 T AA0
pay-toe	P EY0 T OW0
pay-kee	P EY0 K IY0
pay-kay	P EY0 K EY0
pay-kah	P EY0 K AA0
pah-lah	P AA0 L AA0
pah-may	P AA0 M EY0
pah-mah	P AA0 M AA0
pah-mo	P AA0 M OW0
pah-nee	P AA0 N IY0
pah-nay	P AA0 N EY0
pah-nah	P AA0 N AA0
pah-no	P AA0 N OW0
pah-vee	P AA0 V IY0
pah-vay	P AA0 V EY0
pah-vah	P AA0 V AA0
pahthey	P AA0 DH IY0
pah-they	P AA0 DH EY0
pah-though	P AA0 DH OW0
pah-zay	P AA0 Z EY0
pah-zah	P AA0 Z AA0
pah-zo	P AA0 Z OW0
pah-fee	P AA0 F IY0
pah-fay	P AA0 F EY0
pah-fah	P AA0 F AA0
pah-fo	P AA0 F OW0
pah-say	P AA0 S EY0
pah-sah	P AA0 S AA0
pah-so	P AA0 S OW0
pah-shee	P AA0 SH IY0
pah-shay	P AA0 SH EY0
pah-shah	P AA0 SH AA0
pah-sho	P AA0 SH OW0
pah-bee	P AA0 B IY0
pah-bay	P AA0 B EY0
pah-bah	P AA0 B AA0
pah-bo	P AA0 B OW0
pah-dee	P AA0 D IY0
pah-day	P AA0 D EY0
pah-dah	P AA0 D AA0
pah-doe	P AA0 D OW0
pah-ghee	P AA0 G IY0
pah-gay	P AA0 G EY0
pah-gah	P AA0 G AA0
pah-go	P AA0 G OW0
pah-pay	P AA0 P EY0
pah-pah	P AA0 P AA0
pah-po	P AA0 P OW0
pah-tay	P AA0 T EY0
pah-tah	P AA0 T AA0
pah-toe	P AA0 T OW0
pah-kah	P AA0 K AA0
pah-ko	P AA0 K OW0
po-lay	P OW0 L EY0
po-lah	P OW0 L AA0
po-mee	P OW0 M IY0
po-may	P OW0 M EY0
po-mah	P OW0 M AA0
po-mo	P OW0 M OW0
po-nee	P OW0 N IY0
po-nay	P OW0 N EY0
po-nah	P OW0 N AA0
po-no	P OW0 N OW0
po-vee	P OW0 V IY0
po-vay	P OW0 V EY0
po-vah	P OW0 V AA0
po-vo	P OW0 V OW0
pothey	P OW0 DH IY0
po-they	P OW0 DH EY0
po-though	P OW0 DH OW0
po-zay	P OW0 Z EY0
po-zah	P OW0 Z AA0
po-fee	P OW0 F IY0
po-fay	P OW0 F EY0
po-fah	P OW0 F AA0
po-fo	P OW0 F OW0
po-see	P OW0 S IY0
po-say	P OW0 S EY0
po-sah	P OW0 S AA0
po-so	P OW0 S OW0
po-shee	P OW0 SH IY0
po-shay	P OW0 SH EY0
po-shah	P OW0 SH AA0
po-sho	P OW0 SH OW0
po-bee	P OW0 B IY0
po-bay	P OW0 B EY0
po-bah	P OW0 B AA0
po-bo	P OW0 B OW0
po-day	P OW0 D EY0
po-dah	P OW0 D AA0
po-doe	P OW0 D OW0
po-ghee	P OW0 G IY0
po-gay	P OW0 G EY0
po-gah	P OW0 G AA0
po-go	P OW0 G OW0
po-pee	P OW0 P IY0
po-pay	P OW0 P EY0
po-pah	P OW0 P AA0
po-po	P OW0 P OW0
po-tee	P OW0 T IY0
po-tay	P OW0 T EY0
po-tah	P OW0 T AA0
po-toe	P OW0 T OW0
po-kay	P OW0 K EY0
tee-lay	T IY0 L EY0
tee-lah	T IY0 L AA0
tee-lo	T IY0 L OW0
tee-mee	T IY0 M IY0
tee-may	T IY0 M EY0
tee-mah	T IY0 M AA0
tee-mo	T IY0 M OW0
tee-nay	T IY0 N EY0
tee-nah	T IY0 N AA0
tee-vay	T IY0 V EY0
tee-vah	T IY0 V AA0
tee-vo	T IY0 V OW0
teethey	T IY0 DH IY0
tee-they	T IY0 DH EY0
tee-though	T IY0 DH OW0
tee-zee	T IY0 Z IY0
tee-zay	T IY0 Z EY0
tee-zah	T IY0 Z AA0
tee-zo	T IY0 Z OW0
tee-fee	T IY0 F IY0
tee-fay	T IY0 F EY0
tee-fah	T IY0 F AA0
tee-fo	T IY0 F OW0
tee-see	T IY0 S IY0
tee-say	T IY0 S EY0
tee-sah	T IY0 S AA0
tee-so	T IY0 S OW0
tee-shee	T IY0 SH IY0
tee-shay	T IY0 SH EY0
tee-shah	T IY0 SH AA0
tee-sho	T IY0 SH OW0
tee-bay	T IY0 B EY0
tee-bah	T IY0 B AA0
tee-dee	T IY0 D IY0
tee-day	T IY0 D EY0
tee-dah	T IY0 D AA0
tee-doe	T IY0 D OW0
tee-ghee	T IY0 G IY0
tee-gay	T IY0 G EY0
tee-gah	T IY0 G AA0
tee-go	T IY0 G OW0
tee-pay	T IY0 P EY0
tee-pah	T IY0 P AA0
tee-tay	T IY0 T EY0
tee-tah	T IY0 T AA0
tee-kay	T IY0 K EY0
tee-kah	T IY0 K AA0
tay-lee	T EY0 L IY0
tay-lay	T EY0 L EY0
tay-lah	T EY0 L AA0
tay-mee	T EY0 M IY0
