Entry,Definition,ref
rash,A rustling or scraping noise.,Rhyme Over Reason : Phonological Motivation in English
rasteling,"A disturbance, a commotion.",Rhyme Over Reason : Phonological Motivation in English
ratamacue,"One of the basic patterns or rudiments of drumming, consisting of a triplet preceded by a two-stroke drag and followed by an accented beat.",Rhyme Over Reason : Phonological Motivation in English
rat-a-tat,"Representing or imitating a series of short, sharp, rapping or tapping sounds, as produced by firing a gun, knocking at a door, etc.",Rhyme Over Reason : Phonological Motivation in English
tattartattar,"Representing or imitating a series of short, sharp, rapping or tapping sounds, as produced by firing a gun, knocking at a door, etc.",Rhyme Over Reason : Phonological Motivation in English
rattan,A drumming or beating noise; a tattoo.,Rhyme Over Reason : Phonological Motivation in English
rat-tat,"A sharp rapping sound, esp. of a knock at a door or of reports from a gun, etc.",Rhyme Over Reason : Phonological Motivation in English
tat-tat,"A sharp rapping sound, esp. of a knock at a door or of reports from a gun, etc.",Rhyme Over Reason : Phonological Motivation in English
ribbit,"Representing the characteristic sound made by a frog, or an imitation of this.",Rhyme Over Reason : Phonological Motivation in English
rickle,"To make a rattling, clattering, or jingling sound.",Rhyme Over Reason : Phonological Motivation in English
ricky-tick,,
riff,"To flick through (papers, books, etc.); to thumb (a block of paper, a book, etc.), releasing the leaves in (usually rapid) succession.",Rhyme Over Reason : Phonological Motivation in English
riff-raff,"A tumult, a racket; the sound of this.",Rhyme Over Reason : Phonological Motivation in English
rifty-tufty,In disorderly haste or confusion; helter-skelter.,Rhyme Over Reason : Phonological Motivation in English
rim ram ruff,,
roocoocoo,To make the soft murmuring sound or note characteristic of doves and pigeons.,Rhyme Over Reason : Phonological Motivation in English
rooty-toot,"To make a tooting sound with, or as with, a horn or trumpet.",Rhyme Over Reason : Phonological Motivation in English
rounce,"To behave in an agitated, boisterous, or noisy manner.",Rhyme Over Reason : Phonological Motivation in English
rous,With a bounce or a bang.,Rhyme Over Reason : Phonological Motivation in English
row,"A noisy or violent argument, a quarrel with someone.",Rhyme Over Reason : Phonological Motivation in English
row dow dow,"A series of resonant sounds, as produced by beating a drum.",Rhyme Over Reason : Phonological Motivation in English
rub-a-dub,The sound of a drum being beaten; a drumming sound.,Rhyme Over Reason : Phonological Motivation in English
rub-a-dub-dub,The sound of a drum being beaten; a drumming sound.,Rhyme Over Reason : Phonological Motivation in English
ruff,"One of the ornamental rudiments of side drum playing, consisting of three quick strokes followed by a fourth, producing a light militaristic roll.",Rhyme Over Reason : Phonological Motivation in English
ruff,"Representing the characteristic bark of a dog, or a human imitation of such a bark.",Rhyme Over Reason : Phonological Motivation in English
ruffle,A rapid vibrating drum beat.,Rhyme Over Reason : Phonological Motivation in English
ruff-raff,Noisy.,Rhyme Over Reason : Phonological Motivation in English
rufty-tufty,"Rumbustious, boisterous; rough, tough.",Rhyme Over Reason : Phonological Motivation in English
rum-ti-too,Commonplace.,Rhyme Over Reason : Phonological Motivation in English
rum-ti-tum,Used as a meaningless refrain or to represent a regular rhythmic sound.,Rhyme Over Reason : Phonological Motivation in English
rum-tum,Used to represent a regular rhythmic musical sound.,Rhyme Over Reason : Phonological Motivation in English
rustle,To make a sound typically caused by the shaking or friction of surfaces (usually a soft muffled sound).,Rhyme Over Reason : Phonological Motivation in English
scape,A conventional imitation of the cry of the snipe when flushed (also used for the brambling’s call).,Rhyme Over Reason : Phonological Motivation in English
scat,A blow or buffet.,Rhyme Over Reason : Phonological Motivation in English
scat,,
scat,To fall down; to break in pieces; to become bankrupt.,Rhyme Over Reason : Phonological Motivation in English
scraich,To utter a harsh cry.,Rhyme Over Reason : Phonological Motivation in English
scraigh,To utter a harsh cry.,Rhyme Over Reason : Phonological Motivation in English
scranch,To crush with the teeth (a thing somewhat firm and brittle); to chew or bite with a crushing noise.,Rhyme Over Reason : Phonological Motivation in English
scraugh,To utter a loud hoarse cry.,Rhyme Over Reason : Phonological Motivation in English
scraw,To clear the throat.,Rhyme Over Reason : Phonological Motivation in English
screed,"To make a loud, harsh, screeching noise as of something ripping or scraping.",Rhyme Over Reason : Phonological Motivation in English
scride,To make a shrill sound.,Rhyme Over Reason : Phonological Motivation in English
scritch,To utter a loud shrill cry or screech.,Rhyme Over Reason : Phonological Motivation in English
scroop,"A harsh, strident, or scraping noise.",Rhyme Over Reason : Phonological Motivation in English
scroop,"To make a strident, grating, or scraping sound; to grate, creak, squeak.",Rhyme Over Reason : Phonological Motivation in English
seesee,,
shale,Of water: To make the sound characteristic of tidal movement near the shore.,Rhyme Over Reason : Phonological Motivation in English
shallal,A serenade of kettles and pans given to a notorious wedding couple.,Rhyme Over Reason : Phonological Motivation in English
shinder,To shiver or shatter in pieces.,Rhyme Over Reason : Phonological Motivation in English
shoy-hoy,One who scares away birds from a sown field.,Rhyme Over Reason : Phonological Motivation in English
shoyhoy,One who scares away birds from a sown field.,Rhyme Over Reason : Phonological Motivation in English
simper,"To smile in a silly, self-conscious, or affectedly coy or bashful manner, or in a way that is expressive of or is intended to convey guileless pleasure, childlike innocence, or the like.",Oxford English Dictionary
sing-sing,A singing or ringing sound.,Rhyme Over Reason : Phonological Motivation in English
sis-boom-bah,A shout expressive of support or encouragement to a college team.,Rhyme Over Reason : Phonological Motivation in English
sistle,To emit a kind of hissing sound.,Rhyme Over Reason : Phonological Motivation in English
sizz,"To burn, brand.",Rhyme Over Reason : Phonological Motivation in English
sizzle,To burn or scorch so as to produce a hissing sound; to burn up with intense heat.,Rhyme Over Reason : Phonological Motivation in English
ska,"A style of popular music of Jamaican origin, characterized by a fast tempo and strongly accentuated offbeat.",Oxford English Dictionary
skelloch,"To shriek, yell; to resound shrilly.",Rhyme Over Reason : Phonological Motivation in English
skelp,"To strike, beat, slap, smack, in later use spec. on the breech.",Rhyme Over Reason : Phonological Motivation in English
skronk,"Representing any of various loud, harsh sounds.",Rhyme Over Reason : Phonological Motivation in English
slatter,To clatter.,Rhyme Over Reason : Phonological Motivation in English
slodge,To trail or drag the feet in walking; to walk slouchingly.,Rhyme Over Reason : Phonological Motivation in English
sloff,"To eat greedily, dirtily, or slovenly.",Rhyme Over Reason : Phonological Motivation in English
slosh,"To hit, to strike; to crush, to defeat.",Oxford English Dictionary
slosh,To wash with a copious supply of water; to pour water or other liquid copiously over.,Rhyme Over Reason : Phonological Motivation in English
slosh,To lap up or swallow greedily.,Rhyme Over Reason : Phonological Motivation in English
sluffer,To gobble up noisily.,Rhyme Over Reason : Phonological Motivation in English
slump,"To fall or sink in or into a bog, swamp, muddy place, etc.",Rhyme Over Reason : Phonological Motivation in English
slumper,To move or travel heavily or with difficulty on account of miry or muddy roads; to flounder through or along.,Rhyme Over Reason : Phonological Motivation in English
smash,To kick down stairs.,Rhyme Over Reason : Phonological Motivation in English
snaffle,To utter through the nose.,Rhyme Over Reason : Phonological Motivation in English
snash,To use abusive or impertinent language.,Rhyme Over Reason : Phonological Motivation in English
snavel,To snuffle.,Rhyme Over Reason : Phonological Motivation in English
sneck,A sharp clicking sound.,Rhyme Over Reason : Phonological Motivation in English
sneer,"Of a horse: to turn up, as in sniffing.",Rhyme Over Reason : Phonological Motivation in English
snick,To cause to click or sound sharply.,Rhyme Over Reason : Phonological Motivation in English
snicker,To laugh in a half-suppressed or smothered manner; to snigger.,Rhyme Over Reason : Phonological Motivation in English
snicker-snack,(With) a snipping or clicking sound.,Rhyme Over Reason : Phonological Motivation in English
snick-snack,(With) a snipping or clicking sound.,Rhyme Over Reason : Phonological Motivation in English
snick-up,"A sneeze, sneezing-fit.",Rhyme Over Reason : Phonological Motivation in English
sniff,To draw air through the nose with short or sharp audible inhalations.,Rhyme Over Reason : Phonological Motivation in English
sniffle,To snivel or snuffle slightly.,Rhyme Over Reason : Phonological Motivation in English
snift,"To sniff, in various senses.",Rhyme Over Reason : Phonological Motivation in English
snifter,"To sniff, snivel, snuffle.",Rhyme Over Reason : Phonological Motivation in English
snigger,"To laugh in a half-suppressed, light or covert manner.",Rhyme Over Reason : Phonological Motivation in English
sniggle,"To laugh in a half-suppressed, light or covert manner.",Rhyme Over Reason : Phonological Motivation in English
snirt,To laugh in a suppressed manner.,Rhyme Over Reason : Phonological Motivation in English
snoach,"To snuffle; to breathe or speak through the nose, etc.",Rhyme Over Reason : Phonological Motivation in English
snob,To sob.,Rhyme Over Reason : Phonological Motivation in English
snock,A knock; a smart blow.,Rhyme Over Reason : Phonological Motivation in English
snop,A sharp blow or impact; the sound made by this.,Rhyme Over Reason : Phonological Motivation in English
snop,To strike sharply and smartly; to break in this way.,Rhyme Over Reason : Phonological Motivation in English
snore,"Of animals, esp. horses: to turn up, as in sniffing.",Rhyme Over Reason : Phonological Motivation in English
snort,"Of the nose: to turn up, as in sniffing.",Rhyme Over Reason : Phonological Motivation in English
snurt,"Of the nose: to turn up, as in sniffing.",Rhyme Over Reason : Phonological Motivation in English
snush,Snuff.,Rhyme Over Reason : Phonological Motivation in English
snuttering,"Uttering a series of short, quick, usually high-pitched sounds. ",Oxford English Dictionary
sob,"To catch the breath in a convulsive manner as the result of violent emotion, esp. grief.",Rhyme Over Reason : Phonological Motivation in English
sock,To sigh.,Rhyme Over Reason : Phonological Motivation in English
sosh,"A dull, heavy sound; a thud.",Rhyme Over Reason : Phonological Motivation in English
soss,,
soss,"The sound made by a heavy, soft body falling upon or otherwise coming in contact with a surface; a heavy, awkward fall.",Rhyme Over Reason : Phonological Motivation in English
souse,A heavy blow; a thump.,Rhyme Over Reason : Phonological Motivation in English
spank,"To slap or smack (a person, esp. a child) with the open hand.",Rhyme Over Reason : Phonological Motivation in English
spat,A tiff or dispute; a quarrel.,Rhyme Over Reason : Phonological Motivation in English
spat,To start up sharply or actively; to engage in a dispute.,Rhyme Over Reason : Phonological Motivation in English
spink,,
splack,With a sound suggestive of splashing and smacking.,Rhyme Over Reason : Phonological Motivation in English
splatter,To splash continuously or noisily.,Rhyme Over Reason : Phonological Motivation in English
splodge,To trudge or plod splashily through mud or water.,Rhyme Over Reason : Phonological Motivation in English
splosh,"The dull, splashing sound of the impact of a hard object striking or struck by something wet and soft; the impact itself.",Rhyme Over Reason : Phonological Motivation in English
sploshy,"Sloppy. Also, characterized by splashing or sploshing.",Oxford English Dictionary
splotch,"A large or solid splash or spatter of mud, etc.; a large or glaring patch of colour.",Rhyme Over Reason : Phonological Motivation in English
splunge,To plunge.,Rhyme Over Reason : Phonological Motivation in English
splurge,An ostentatious display or effort.,Rhyme Over Reason : Phonological Motivation in English
splurt,To squirt or spirt out (liquid).,Rhyme Over Reason : Phonological Motivation in English
splutter,A noise or fuss.,Rhyme Over Reason : Phonological Motivation in English
spooge,Semen. Also: any unpleasant viscous substance.,Rhyme Over Reason : Phonological Motivation in English
sposh,Mud; slush.,Rhyme Over Reason : Phonological Motivation in English
spraich,A scream or outcry.,Rhyme Over Reason : Phonological Motivation in English
sprinkle,"A light, tinkling sound.",Rhyme Over Reason : Phonological Motivation in English
spuffle,To fuss or bustle; to be in a flurry or in breathless haste.,Rhyme Over Reason : Phonological Motivation in English
squab,"To knock or beat severely; to squash, squeeze flat.",Oxford English Dictionary
squable,"A wrangle, dispute, brawl; a petty quarrel.",Rhyme Over Reason : Phonological Motivation in English
squail,To make a shrill noise.,Rhyme Over Reason : Phonological Motivation in English
squall,To scream loudly or discordantly.,Rhyme Over Reason : Phonological Motivation in English
squark,A harsh croak; a squawk.,Rhyme Over Reason : Phonological Motivation in English
squark,Of birds: To croak harshly; to squawk.,Rhyme Over Reason : Phonological Motivation in English
squatter,To be fussily busy.,Rhyme Over Reason : Phonological Motivation in English
squawk,To call or cry with a loud harsh note; to squall or screech hoarsely.,Rhyme Over Reason : Phonological Motivation in English
squeak,To emit a short or slight sound of a thin high-pitched character.,Rhyme Over Reason : Phonological Motivation in English
squeal,"To utter (or give out) a more or less prolonged loud sharp cry, esp. by reason of pain or sudden alarm; to scream shrilly.",Rhyme Over Reason : Phonological Motivation in English
squeck,A disease affecting fowls.,Rhyme Over Reason : Phonological Motivation in English
squee,"Representing a high-pitched squealing or squeaking sound produced by an animal, musical instrument, etc.",Rhyme Over Reason : Phonological Motivation in English
squelch,A heavy crushing fall or blow acting on a soft body; the sound produced by this.,Rhyme Over Reason : Phonological Motivation in English
squidge,The sound made by soft mud yielding to sudden pressure.,Rhyme Over Reason : Phonological Motivation in English
squiggle,A giggle or sniggle.,Rhyme Over Reason : Phonological Motivation in English
squirk,A half-suppressed laugh.,Rhyme Over Reason : Phonological Motivation in English
squirm,To wriggle or writhe.,Rhyme Over Reason : Phonological Motivation in English
squish,"To squeeze, to squash.",Rhyme Over Reason : Phonological Motivation in English
squish-squash,With the splashing or squashing sound made in walking through water or soft mud.,Rhyme Over Reason : Phonological Motivation in English
squit,To squirt.,Rhyme Over Reason : Phonological Motivation in English
squizzle,"To squirt out, to squish.",Rhyme Over Reason : Phonological Motivation in English
squodgy,Soft and soggy; squelchy.,Rhyme Over Reason : Phonological Motivation in English
sqush,"To collapse into a soft, pulpy mass.",Rhyme Over Reason : Phonological Motivation in English
stonk,,
stunk,,
stramash,"To crush, or break irreparably; to destroy.",Rhyme Over Reason : Phonological Motivation in English
strim-stram,,
strum,"To play on (a stringed instrument) carelessly or unskilfully; to produce (notes, a tune, etc.) by such playing.",Rhyme Over Reason : Phonological Motivation in English
strumstrum,,
suffet,"To beat, strike, esp. with the hand; to thump, cuff, knock about.",Rhyme Over Reason : Phonological Motivation in English
sugh,To sigh.,Rhyme Over Reason : Phonological Motivation in English
sum,To hum softly.,Rhyme Over Reason : Phonological Motivation in English
sumph,The sound of something heavy and limp falling.,Rhyme Over Reason : Phonological Motivation in English
sussing,The ‘spitting’ of a cat.,Rhyme Over Reason : Phonological Motivation in English
suther,"To sigh, sough.",Rhyme Over Reason : Phonological Motivation in English
swack,"A hard blow; a whack, bang.",Rhyme Over Reason : Phonological Motivation in English
swack,"To fling, dash; to brandish (a sword).",Rhyme Over Reason : Phonological Motivation in English
swap ,"To strike, hit, smite (occasionally used of kissing).",Rhyme Over Reason : Phonological Motivation in English
swop,"To strike, hit, smite (occasionally used of kissing).",Rhyme Over Reason : Phonological Motivation in English
swash,To dash or cast violently.,Rhyme Over Reason : Phonological Motivation in English
swash,Expressive of the fall of a heavy body or blow: with a crash.,Rhyme Over Reason : Phonological Motivation in English
swatter,To flutter and splash in water like ducks or geese; to splash water about or splash about in water.,Rhyme Over Reason : Phonological Motivation in English
switter,To flutter and splash in water like ducks or geese; to splash water about or splash about in water.,Rhyme Over Reason : Phonological Motivation in English
swee,,
sweet,"To pipe, chirp, or twitter, as a bird.",Rhyme Over Reason : Phonological Motivation in English
swilk,"To splash or dash about, as liquid.",Rhyme Over Reason : Phonological Motivation in English
swish,,
swish,A hissing sound like that produced by a switch or similar slender object moved rapidly through the air or an object moving swiftly in contact with water; movement accompanied by such sound.,Oxford English Dictionary
swoosh,"An exclamation representing a rushing sound or movement, esp. through the air.",Oxford English Dictionary
tack,The sound of a smart stroke.,Rhyme Over Reason : Phonological Motivation in English
ta-da,"Used to accompany or draw attention to a dramatic entrance, announcement, etc.",Rhyme Over Reason : Phonological Motivation in English
tam-tam,"A metal gong of oriental origin, spec. a Chinese gong, now used in western orchestras.",Rhyme Over Reason : Phonological Motivation in English
tang,To strike (a bell or the like) so as to cause it to emit a sharp loud ringing note.,Rhyme Over Reason : Phonological Motivation in English
tank,"A blow, a knock.",Rhyme Over Reason : Phonological Motivation in English
tantara,"Imitative of the sound of a flourish blown on a trumpet, or sometimes of a drum.",Rhyme Over Reason : Phonological Motivation in English
tantivy,At full gallop; swiftly; headlong.,Rhyme Over Reason : Phonological Motivation in English
tarara,"A word imitating, and hence denoting, the sound of a trumpet or bugle.",Rhyme Over Reason : Phonological Motivation in English
taratantara,"A word imitating, and hence denoting, the sound of a trumpet or bugle.",Rhyme Over Reason : Phonological Motivation in English
tat,"To touch lightly, pat, tap.",Rhyme Over Reason : Phonological Motivation in English
tcha,An exclamation of impatience or contempt.,Rhyme Over Reason : Phonological Motivation in English
tchah,An exclamation of impatience or contempt.,Rhyme Over Reason : Phonological Motivation in English
teeack,,
teedle,To sing (a tune) without words; to hum.,Rhyme Over Reason : Phonological Motivation in English
tee-hee,"A representation of the sound of a light laugh, usually derisive.",Rhyme Over Reason : Phonological Motivation in English
tewhit,Imitations of the cry of some birds.,Oxford English Dictionary
tewit,Imitations of the cry of some birds.,Oxford English Dictionary
thrip,To make a noise with thumb and finger which resembles the whispering of ‘flip’.,Rhyme Over Reason : Phonological Motivation in English
throb,"To beat or pulsate with more than usual force or rapidity, esp. as the result of strong emotion or excitement; to palpitate, pound.",Rhyme Over Reason : Phonological Motivation in English
throb-throb,,
thrum,,
thrum,"To play on a stringed instrument, as a guitar, harp, etc., by plucking the strings; to play on any stringed instrument in an idle, mechanical, or unskilful way",Oxford English Dictionary
thrump,"The sound of a blow, heavy fall or beat, etc.",Rhyme Over Reason : Phonological Motivation in English
thuck,"The sound of a missile, as an arrow, bullet, etc., hitting a target.",Rhyme Over Reason : Phonological Motivation in English
thung,"A dull heavy sound, as of a blow with the fist, but with some resonance.",Rhyme Over Reason : Phonological Motivation in English
thunge,"A loud, hollow sound; a heavy blow or fall producing such a sound.",Rhyme Over Reason : Phonological Motivation in English
thunk,"A sound of an impact, either dull or plangent.",Rhyme Over Reason : Phonological Motivation in English
thutter,To make the sputtering or shaking sound suggested by the word.,Rhyme Over Reason : Phonological Motivation in English
thwack,"To beat or strike vigorously, as with a stick; to bang, thrash, whack.",Rhyme Over Reason : Phonological Motivation in English
tick,"Of a clock, watch, etc.: To make the light quick sound.",Oxford English Dictionary
tickle-ace,,
tick-tack,"An imitation of a reduplicated or alternating ticking sound, esp. that made by a clock.",Rhyme Over Reason : Phonological Motivation in English
tick-tick,"An imitation of the ticking of a clock or watch, or a similar sound.",Rhyme Over Reason : Phonological Motivation in English
tick-tock,"An imitation of the ticking of a clock, esp. the slow ticking of a large clock.",Rhyme Over Reason : Phonological Motivation in English
tiddly-om-pom-pom,,
tiffle,"To disorder, disarrange, entangle, ravel.",Rhyme Over Reason : Phonological Motivation in English
tifle,"To disorder, disarrange, entangle, ravel.",Rhyme Over Reason : Phonological Motivation in English
tik,,
ting,To cause (a small bell or the like) to emit a ringing note.,Rhyme Over Reason : Phonological Motivation in English
ting-tang,"A succession of two ringing sounds, differing in tone or force.",Rhyme Over Reason : Phonological Motivation in English
tink,"To emit a metallic sound with very short resonance, e.g. as is done by a cracked bell.",Rhyme Over Reason : Phonological Motivation in English
tink,A representation of the abrupt sound made by striking resonant metal with something hard and light.,Rhyme Over Reason : Phonological Motivation in English
tiralee,,
tirra-lirra,"A representation of the note of the skylark, or of a similar sound uttered as an exclamation of delight or gaiety.",Rhyme Over Reason : Phonological Motivation in English
tit,,
tit,"To strike or tap lightly, pat, tip.",Rhyme Over Reason : Phonological Motivation in English
titter,"To laugh in a suppressed or covert way (often as a result of nervousness, or in affectation or ridicule).",Rhyme Over Reason : Phonological Motivation in English
tittup,"To walk or move with an up-and-down or jerky movement; to move in an exaggerated or affected manner. Also (of a horse, etc.) to move with short up-and-down strides in a prancing fashion; (of a rider) to guide a horse in this way.",Oxford English Dictionary
tock,"A short, hollow sound, deeper and more resonant than a tick, as of a cricket bat striking the ball.",Rhyme Over Reason : Phonological Motivation in English
tock,"To make a sound similar to tick, but slightly lower and therefore more resonant.",Rhyme Over Reason : Phonological Motivation in English
tong,"A deep ringing sound produced by a stroke on a large bell, deeper than that denoted by tang, but sharper than that denoted by dong.",Rhyme Over Reason : Phonological Motivation in English
tonk,"A powerful hit or stroke, esp. with a bat (or racket).",Rhyme Over Reason : Phonological Motivation in English
tonk,To strike.,Rhyme Over Reason : Phonological Motivation in English
toodle,To hum or sing in a low tone (as to a baby).,Rhyme Over Reason : Phonological Motivation in English
too-too,,
tottle,"To move and bubble, as a boiling liquid.",Rhyme Over Reason : Phonological Motivation in English
towl,To yowl.,Rhyme Over Reason : Phonological Motivation in English
trongle,A ringing or tingling in the ears.,Rhyme Over Reason : Phonological Motivation in English
tucktoo,,
tuff,To make a short explosive sound with the breath.,Rhyme Over Reason : Phonological Motivation in English
tuffle,"To put into disorder, ruffle, rumple; to entangle, ravel.",Rhyme Over Reason : Phonological Motivation in English
tuh,An ejaculation expressing disgust or disdain.,Rhyme Over Reason : Phonological Motivation in English
tum,"To produce the sound made by plucking a tense string, as in a musical instrument, or by striking a drum, or the like.",Rhyme Over Reason : Phonological Motivation in English
tump-tump,"A short sound as of water slopping without splashing, or a large ball being kicked.",Rhyme Over Reason : Phonological Motivation in English
turr,,
tur-turring,"An imitation of the cooing of a dove, used to designate the action or sound.",Rhyme Over Reason : Phonological Motivation in English
tu-whit,"Representing the characteristic call of an owl; (sometimes) spec. representing the short, shrill contact call of the female tawny owl, to which the male responds with a hooting sound",Oxford English Dictionary
tu-whoo,"Representing the characteristic call of an owl; (sometimes) spec. representing the short, shrill contact call of the female tawny owl, to which the male responds with a hooting sound",Oxford English Dictionary
twang,A vocal imitation of the resonant sound produced when a tense string is sharply plucked or suddenly released.,Rhyme Over Reason : Phonological Motivation in English
twang,"To give forth a ringing note, as a tense string or a stringed instrument when plucked; to clang.",Rhyme Over Reason : Phonological Motivation in English
twank,"To give forth a ringing note, as a tense string or a stringed instrument when plucked with short and sharp effect.",Rhyme Over Reason : Phonological Motivation in English
twee,"An imitation of the sound of a horn, and also of the notes of some birds.",Rhyme Over Reason : Phonological Motivation in English
tweedle,Of a musical instrument or one who plays it: To produce a succession of shrill modulated sounds.,Rhyme Over Reason : Phonological Motivation in English
tweek,"A type of whistler which is heard as a short, high-pitched chirruping noise.",Rhyme Over Reason : Phonological Motivation in English
tweet,"Of a bird: to communicate (something) with a brief high-pitched sound or call, or a series of such sounds.",Rhyme Over Reason : Phonological Motivation in English
tweet,Representing a brief high-pitched sound or call as made by a small bird.,Rhyme Over Reason : Phonological Motivation in English
twingle,"To twist, twine, wriggle, writhe.",Rhyme Over Reason : Phonological Motivation in English
twink,,
twink,"To make a light clear abrupt ringing sound; to clink, chink.",Rhyme Over Reason : Phonological Motivation in English
twinkle,To flow or move with a tinkling sound.,Rhyme Over Reason : Phonological Motivation in English
twirl,"To rotate rapidly, to spin; to be whirled round or about.",Rhyme Over Reason : Phonological Motivation in English
twite,,
twitter,Of a bird: To utter a succession of light tremulous notes; to chirp continuously with a tremulous effect.,Rhyme Over Reason : Phonological Motivation in English
twizzle,"To rotate rapidly, spin, twirl.",Rhyme Over Reason : Phonological Motivation in English
ugh,A representation of an inarticulate sound of the nature of a hollow cough.,Rhyme Over Reason : Phonological Motivation in English
uh,"A representation of an inarticulate sound, such as that produced in coughing.",Rhyme Over Reason : Phonological Motivation in English
uh-huh,A spoken affirmative or non-committal response to a question or remark.,Rhyme Over Reason : Phonological Motivation in English
uh-uh,A spoken negative response to a question or remark.,Rhyme Over Reason : Phonological Motivation in English
ululu,A wailing cry; a wail of lamentation.,Rhyme Over Reason : Phonological Motivation in English
um,Used to indicate hesitating or inarticulate utterance on the part of a speaker.,Rhyme Over Reason : Phonological Motivation in English
umph,"An inarticulate sound, expressive of hesitation, doubt, or dissatisfaction.",Rhyme Over Reason : Phonological Motivation in English
ur,"An inarticulate sound, uttered instead of a word that the speaker is unable to remember or bring out.",Rhyme Over Reason : Phonological Motivation in English
veery,,
voom,Indicating the sound of an explosion.,Rhyme Over Reason : Phonological Motivation in English
vroom,The roaring noise of a motor vehicle accelerating or travelling at speed.,Rhyme Over Reason : Phonological Motivation in English
waff,"Of a dog, esp. of a puppy: to yelp.",Rhyme Over Reason : Phonological Motivation in English
wahey,An exclamation expressing delight or exhilaration.,Rhyme Over Reason : Phonological Motivation in English
wah-wah,A musical effect achieved on brass instruments by manipulation of a mute and on an electric guitar by means of a pedal controlling output from the amplifier.,Rhyme Over Reason : Phonological Motivation in English
wap,To bark.,Rhyme Over Reason : Phonological Motivation in English
waul,To utter the loud harsh cry characteristic of cats or of new-born babies.,Rhyme Over Reason : Phonological Motivation in English
wawl,To utter the loud harsh cry characteristic of cats or of new-born babies.,Rhyme Over Reason : Phonological Motivation in English
waw,To cry as a cat or utter a similar sound.,Rhyme Over Reason : Phonological Motivation in English
way,Used as a command to a horse (or occasionally to a person) to make it stop or slow down.,Rhyme Over Reason : Phonological Motivation in English
wee,To urinate.,Rhyme Over Reason : Phonological Motivation in English
week,"Representing a short high-pitched sound, esp. as made by a pig.",Rhyme Over Reason : Phonological Motivation in English
weet,An imitation of the cry of certain small birds.,Rhyme Over Reason : Phonological Motivation in English
weet-weet,"An imitation of the cry of certain birds, esp. the sandpiper and chaffinch.",Rhyme Over Reason : Phonological Motivation in English
wee-wee,To urinate.,Rhyme Over Reason : Phonological Motivation in English
wehee,A conventional representation of the sound uttered by horses.,Rhyme Over Reason : Phonological Motivation in English
whack,A vigorous stroke with a stick or the like; a heavy resounding blow; also the sound of this.,Rhyme Over Reason : Phonological Motivation in English
wham,"A heavy blow; the sound of a heavy blow (or of an explosion, etc.).",Rhyme Over Reason : Phonological Motivation in English
wham,"To strike violently; to propel with great force, by hitting, throwing, kicking, etc.",Rhyme Over Reason : Phonological Motivation in English
whang,"A resounding blow or stroke, or the sound of such a blow; a bang.",Rhyme Over Reason : Phonological Motivation in English
wharl,To pronounce the letter r with a burr or guttural sound.,Rhyme Over Reason : Phonological Motivation in English
wheak,"To squeak, whine.",Rhyme Over Reason : Phonological Motivation in English
whee,"An exclamation of joy, exhilaration, astonishment, etc.",Rhyme Over Reason : Phonological Motivation in English
wheech,"To move quickly, esp. through or as if through the air; to whizz; to rush or dash.",Rhyme Over Reason : Phonological Motivation in English
wheep,A long-drawn sound of a steel weapon drawn from its sheath.,Rhyme Over Reason : Phonological Motivation in English
wheep,"To utter a somewhat protracted shrill cry, like the curlew or plover.",Rhyme Over Reason : Phonological Motivation in English
wheeple,"To utter a somewhat protracted shrill cry, like the curlew or plover.",Rhyme Over Reason : Phonological Motivation in English
wheetle,To whistle shrilly.,Rhyme Over Reason : Phonological Motivation in English
wherret,A sharp blow; esp. a box on the ear or slap on the face.,Rhyme Over Reason : Phonological Motivation in English
whew,,
whew,To whistle; to make a whistling or rustling noise.,Rhyme Over Reason : Phonological Motivation in English
whewl,"To cry plaintively, moan, whine, howl.",Rhyme Over Reason : Phonological Motivation in English
whick,"To squeak, as a pig.",Rhyme Over Reason : Phonological Motivation in English
whicker,"To utter a half-suppressed laugh; to snigger, titter.",Rhyme Over Reason : Phonological Motivation in English
whimp,"To utter a feeble, whining, broken cry, as a child about to burst into tears.",Rhyme Over Reason : Phonological Motivation in English
whimper,"To utter a feeble, whining, broken cry, as a child about to burst into tears.",Rhyme Over Reason : Phonological Motivation in English
whing,To move with great force or impetus.,Rhyme Over Reason : Phonological Motivation in English
whing,A word expressing a high-pitched ringing sound.,Rhyme Over Reason : Phonological Motivation in English
whinny,"Of a horse: To neigh, esp. in a low or gentle way.",Rhyme Over Reason : Phonological Motivation in English
whrinny,"Of a horse: To neigh, esp. in a low or gentle way.",Rhyme Over Reason : Phonological Motivation in English
whip-poor-will,,
whip-tom-kelly,,
whish,"A soft sibilant sound, as that of something moving rapidly through the air or over the surface of water.",Rhyme Over Reason : Phonological Motivation in English
whisp,A slight blast or puff (of wind) or sprinkle (of rain).,Rhyme Over Reason : Phonological Motivation in English
whiss,To make a sibilant sound of some kind.,Rhyme Over Reason : Phonological Motivation in English
whist,"A whistling sound, a whistle.",Rhyme Over Reason : Phonological Motivation in English
whist,"To whisper, murmur.",Rhyme Over Reason : Phonological Motivation in English
whit,"Expressing a shrill abrupt sound, as a bird’s chirp, the whistling of a flying bullet, etc.",Rhyme Over Reason : Phonological Motivation in English
whitter,"A talkative person, a chatterer.",Rhyme Over Reason : Phonological Motivation in English
